place_type_name_id,level,code,name,full_name,alt_name,after_place_name
1,1,101,АО,Автономный округ,Авт. Округ,1
2,1,102,Аобл,Автономная область,Авт. Обл.,1
3,1,103,г,Город,г.,0
4,1,104,край,Край,,1
5,1,105,обл,Область,Обл.,1
6,1,107,округ,Округ,Окр.,1
7,1,106,Респ,Республика,,0
8,1,108,Чувашия,Чувашия,,0
9,2,201,АО,Автономный округ,Авт. Округ,1
10,3,305,АО,Автономный округ,Авт. Округ,1
11,3,306,п,Поселение,,0
12,3,301,р-н,Район,,0
13,3,303,тер,Территория,Тер.,0
14,3,302,у,Улус,,0
15,4,410,волость,Волость,,0
16,4,401,г,Город,г.,0
17,4,405,дп,Дачный поселок,д.п.,0
18,4,404,кп,Курортный поселок,к.п.,0
19,4,416,массив,Массив,,0
20,4,417,п,Поселок,,0
22,4,402,пгт,Поселок городского типа,п.г.т.,0
21,4,411,п/о,Почтовое отделение,,0
23,4,403,рп,Рабочий поселок,р.п.,0
24,4,407,с/а,Сельская администрация,,0
25,4,415,с/мо,Сельское муницип.образование,,0
26,4,409,с/о,Сельский округ,,0
27,4,414,с/п,Сельское поселение,,0
28,4,406,с/с,Сельсовет,,0
29,4,412,тер,Территория,Тер.,0
30,5,503,р-н,Район,,0
31,5,502,тер,Территория,Тер.,0
32,6,601,аал,Аал,,0
33,6,645,автодорога,Автодорога,,0
34,6,640,арбан,Арбан,,0
35,6,602,аул,Аул,,0
36,6,603,волость,Волость,,0
37,6,604,высел,Выселки(ок),,0
38,6,605,г,Город,г.,0
39,6,636,городок,Городок,,0
40,6,606,д,Деревня,,0
41,6,607,дп,Дачный поселок,д.п.,0
42,6,608,ж/д_будка,Железнодорожная будка,,0
43,6,609,ж/д_казарм,Железнодорожная казарма,,0
44,6,610,ж/д_оп,ж/д останов. (обгонный) пункт,,0
45,6,638,ж/д_платф,Железнодорожная платформа,,0
46,6,611,ж/д_пост,Железнодорожный пост,,0
47,6,612,ж/д_рзд,Железнодорожный разъезд,,0
48,6,613,ж/д_ст,Железнодорожная станция,,0
49,6,647,жилзона,Жилая зона,,0
50,6,646,жилрайон,Жилой район,,0
51,6,614,заимка,Заимка,,0
52,6,615,казарма,Казарма,,0
53,6,639,кв-л,Квартал,,0
54,6,644,кордон,Кордон,,0
55,6,616,кп,Курортный поселок,к.п.,0
56,6,642,лпх,Леспромхоз,,0
57,6,617,м,Местечко,,0
58,6,648,массив,Массив,,0
59,6,618,мкр,Микрорайон,,0
60,6,619,нп,Населенный пункт,,0
61,6,620,остров,Остров,,0
62,6,621,п,Поселок,,0
66,6,624,пгт,Поселок городского типа,п.г.т.,0
63,6,626,п/о,Почтовое отделение,,0
67,6,643,погост,Погост,,0
68,6,625,починок,Починок,,0
64,6,622,п/р,Планировочный район,,0
69,6,627,промзона,Промышленная зона,,0
65,6,623,п/ст,Поселок и(при) станция(и),,0
70,6,628,рзд,Разъезд,,0
71,6,629,рп,Рабочий поселок,р.п.,0
72,6,630,с,Село,,0
73,6,631,сл,Слобода,,0
74,6,641,снт,Садовое неком-е товарищество,,0
75,6,632,ст,Станция,ст.,0
76,6,633,ст-ца,Станица,,0
77,6,637,тер,Территория,Тер.,0
78,6,634,у,Улус,,0
79,6,635,х,Хутор,,0
81,7,732,аал,Аал,,0
82,7,701,аллея,Аллея,,0
83,7,760,арбан,Арбан,,0
84,7,733,аул,Аул,,0
80,7,772,а/я,Абонентский ящик,,0
85,7,781,балка,Балка,,0
86,7,773,берег,Берег,,0
87,7,702,б-р,Бульвар,,0
88,7,776,бугор,Бугор,,0
89,7,782,бухта,Бухта,,0
90,7,768,вал,Вал,,0
91,7,703,въезд,Въезд,,0
92,7,734,высел,Выселки(ок),,0
93,7,786,горка,Горка,,0
94,7,735,городок,Городок,,0
95,7,763,гск,Гаражно-строит-ный кооператив,,0
96,7,736,д,Деревня,,0
97,7,787,днп,Дачное нек,,0
98,7,704,дор,Дорога,,0
99,7,737,ж/д_будка,Железнодорожная будка,,0
100,7,738,ж/д_казарм,Железнодорожная казарма,,0
101,7,739,ж/д_оп,ж/д останов. (обгонный) пункт,,0
102,7,759,ж/д_платф,Железнодорожная платформа,,0
103,7,740,ж/д_пост,Железнодорожный пост,,0
104,7,741,ж/д_рзд,Железнодорожный разъезд,,0
105,7,742,ж/д_ст,Железнодорожная станция,,0
106,7,705,жт,Животноводческая точка,,0
107,7,706,заезд,Заезд,,0
108,7,777,зона,Зона,,0
109,7,743,казарма,Казарма,,0
110,7,762,канал,Канал,,0
111,7,707,кв-л,Квартал,,0
112,7,708,км,Километр,,0
113,7,709,кольцо,Кольцо,,0
114,7,767,коса,Коса,,0
115,7,710,линия,Линия,,0
116,7,765,лпх,Леспромхоз,,0
117,7,744,м,Местечко,,0
118,7,785,маяк,Маяк,,0
119,7,780,местность,Местность,,0
120,7,745,мкр,Микрорайон,,0
121,7,770,мост,Мост,,0
297,7,784,мыс,Мыс,,0
124,7,711,наб,Набережная,,0
125,7,746,нп,Населенный пункт,,0
276,7,788,н/п,Некоммерче,,0
126,7,712,остров,Остров,,0
127,7,748,п,Поселок,,0
271,7,713,парк,Парк,,0
132,7,714,пер,Переулок,,0
133,7,715,переезд,Переезд,,0
134,7,716,пл,Площадь,пл.,0
279,7,747,платф,Платформа,,0
266,7,717,пл-ка,Площадка,,0
128,7,749,п/о,Почтовое отделение,,0
137,7,752,полустанок,Полустанок,,0
138,7,753,починок,Починок,,0
129,7,750,п/р,Планировочный район,,0
139,7,783,причал,Причал,,0
291,7,719,пр-кт,Проспект,пр-т,0
289,7,718,проезд,Проезд,,0
281,7,720,просек,Просек,,0
