place_coordinates_id,place_id,latitude,longitude,ym_geocode
2358,213,43.020603,44.681888,"Россия, Республика Северная Осетия — Алания, Владикавказ"
2694,270,60.144646,30.209535,"Россия, Ленинградская область, Всеволожский район, Сертолово"
2464,330,63.861436,57.316531,"Россия, Республика Коми, Вуктыл"
2097,1449,45.356200,36.467352,"Россия, Республика Крым, Керчь"
2686,1727,55.846608,48.501120,"Россия, Республика Татарстан, Зеленодольск"
2095,1811,59.763761,60.193493,"Россия, Свердловская область, Краснотурьинск"
2094,1865,52.539308,85.213829,"Россия, Алтайский край, Бийск"
2093,2006,52.246230,117.711740,"Россия, Забайкальский край, Сретенск"
2092,2118,53.136911,103.090096,"Россия, Иркутская область, Черемхово"
2091,2451,55.940689,46.202107,"Россия, Чувашская Республика, Ядрин"
2536,2816,54.596613,52.443260,"Россия, Республика Татарстан, Лениногорск"
2338,2837,54.056551,35.962175,"Россия, Калужская область, Козельский район, Сосенский"
2337,3044,45.358423,40.696395,"Россия, Краснодарский край, Гулькевичи"
2535,3059,53.630152,55.931634,"Россия, Республика Башкортостан, Стерлитамак"
2336,3280,61.669822,40.204388,"Россия, Архангельская область, Няндома"
2335,3293,58.369849,45.518264,"Россия, Костромская область, Шарья"
2357,3370,45.044502,41.969065,"Россия, Ставрополь"
2534,3656,54.319181,35.281692,"Россия, Калужская область, Мещовск"
2533,3698,56.088403,54.248254,"Россия, Республика Башкортостан, Нефтекамск"
2334,3729,53.361694,55.924582,"Россия, Республика Башкортостан, Салават"
2333,3747,57.122219,35.466808,"Россия, Тверская область, Лихославль"
2532,3842,53.017060,32.393851,"Россия, Брянская область, Сураж"
2531,4426,55.207634,36.483584,"Россия, Калужская область, Боровск"
2322,4429,59.644118,33.542886,"Россия, Ленинградская область, Тихвин"
2122,4673,57.526543,38.326460,"Россия, Ярославская область, Углич"
2121,5073,51.158122,82.187216,"Россия, Алтайский край, Змеиногорск"
2476,5432,55.895156,52.314343,"Россия, Республика Татарстан, Менделеевск"
2120,5570,61.111193,28.872680,"Россия, Ленинградская область, Выборгский район, Светогорск"
2223,6002,54.744659,35.242463,"Россия, Калужская область, Юхнов"
2384,6367,51.958182,85.960373,"Россия, Республика Алтай, Горно-Алтайск"
2474,6454,53.183026,158.388355,"Россия, Камчатский край, Елизово"
2119,6476,54.755410,61.324427,"Россия, Челябинская область, Еманжелинск"
2118,6495,53.734001,127.265809,"Россия, Амурская область, Зея"
2117,6654,66.659365,66.388266,"Россия, ЯНАО, Лабытнанги"
2116,6877,46.105835,33.691099,"Россия, Республика Крым, Армянск"
2519,7037,56.252857,93.532210,"Россия, Красноярский край, Железногорск"
2156,7324,43.111199,132.347991,"Россия, Приморский край, Большой Камень"
2530,7350,48.625101,142.778851,"Россия, Сахалинская область, Макаров"
2332,7351,46.652779,141.863135,"Россия, Сахалинская область, Невельск"
2363,7375,54.180857,45.186319,"Россия, Республика Мордовия, Саранск"
2331,7758,61.805890,36.533000,"Россия, Республика Карелия, Пудож"
2515,7829,51.554657,43.146496,"Россия, Саратовская область, Балашов"
2473,7849,53.987134,123.943632,"Россия, Амурская область, Сковородино"
2472,7994,51.090228,40.031911,"Россия, Воронежская область, Бобров"
2514,8140,56.289071,37.483175,"Россия, Московская область, Дмитровский муниципальный район, Яхрома"
2513,8159,55.938561,37.510098,"Россия, Московская область, Долгопрудный"
2512,8162,56.344157,37.520015,"Россия, Московская область, Дмитров"
2511,8926,43.398163,42.921423,"Россия, Кабардино-Балкарская Республика, Эльбрусский район, Тырныауз"
2510,9492,59.535084,45.457646,"Россия, Вологодская область, Никольск"
2509,9570,52.759411,87.847725,"Россия, Кемеровская область, Таштагол"
2398,9694,42.057669,48.288776,"Россия, Республика Дагестан, Дербент"
2492,9941,56.991837,60.477136,"Россия, Свердловская область, Среднеуральск"
2508,9942,56.975804,60.564955,"Россия, Свердловская область, Верхняя Пышма"
2355,10020,51.719086,94.437757,"Россия, Республика Тыва, Кызыл"
2506,10314,68.056712,166.452154,"Россия, Чукотский автономный округ, Билибино"
2366,10575,51.730361,36.192647,"Россия, Курск"
2470,10642,45.260439,38.126001,"Россия, Краснодарский край, Славянск-на-Кубани"
2651,10653,52.022331,47.782818,"Россия, Саратовская область, Балаково"
2650,10797,57.559708,49.935712,"Россия, Кировская область, Нолинск"
2133,10809,49.057075,44.830110,"Россия, Волгоградская область, Дубовка"
2132,11037,50.322058,44.801319,"Россия, Волгоградская область, Котово"
2199,11153,53.244472,39.141798,"Россия, Липецкая область, Данков"
2131,11179,53.791470,81.354603,"Россия, Алтайский край, Каменский район, Камень-на-Оби"
2504,11461,54.964153,48.290142,"Россия, Республика Татарстан, Буинск"
2503,11487,54.990716,57.689969,"Россия, Челябинская область, Сим"
2085,11785,55.619818,40.657902,"Россия, Владимирская область, Гусь-Хрустальный"
2083,11913,54.481448,53.465570,"Россия, Республика Башкортостан, Октябрьский"
2502,12083,52.925259,78.572916,"Россия, Алтайский край, Яровое"
2468,12453,59.117790,28.088136,"Россия, Ленинградская область, Сланцы"
2467,12945,55.659840,37.863199,"Россия, Московская область, Котельники"
2466,12973,44.105325,42.973193,"Россия, Ставропольский край, Лермонтов"
2641,13277,43.957376,43.631946,"Россия, Ставропольский край, Кировский район, Новопавловск"
2465,13320,55.743553,52.395820,"Россия, Республика Татарстан, Набережные Челны"
1988,13479,48.966440,140.285128,"Россия, Хабаровский край, Советско-Гаванский район, Советская Гавань"
2412,13593,61.002486,69.018408,"Россия, ХМАО, Ханты-Мансийск"
2114,14578,52.650646,42.728663,"Россия, Тамбовская область, Кирсанов"
2113,14590,53.706332,84.931551,"Россия, Алтайский край, Заринск"
2112,14882,51.687126,39.027263,"Россия, Воронежская область, Семилуки"
2111,14920,55.597856,37.039462,"Россия, Московская область, Краснознаменск"
2110,14980,50.106518,129.439309,"Россия, Амурская область, Завитинск"
2109,15041,63.795285,74.494448,"Россия, ЯНАО, Муравленко"
2108,15148,59.460968,40.099977,"Россия, Вологодская область, Сокол"
2375,15525,52.033973,113.499432,"Россия, Забайкальский край, Чита"
2107,15757,58.348590,60.040896,"Россия, Свердловская область, Красноуральск"
2529,15844,45.057123,34.599970,"Россия, Республика Крым, Белогорск"
2106,15888,55.729686,36.855325,"Россия, Московская область, Звенигород"
2105,15954,42.115189,48.193914,"Россия, Республика Дагестан, Дагестанские Огни"
2104,15972,60.732141,33.552139,"Россия, Ленинградская область, Лодейное Поле"
2103,16085,50.760530,37.864780,"Россия, Белгородская область, Новый Оскол"
2102,16122,60.939742,76.569601,"Россия, ХМАО, Нижневартовск"
2246,16480,54.965150,39.026059,"Россия, Московская область, Луховицы"
2245,16533,45.099028,43.430606,"Россия, Ставропольский край, Благодарный"
2126,16635,53.598743,87.337051,"Россия, Кемеровская область, Осинники"
2125,16639,55.669315,86.274469,"Россия, Кемеровская область, Берёзовский"
2528,16641,53.884466,86.750082,"Россия, Кемеровская область, Прокопьевск"
2124,16642,53.521083,87.277160,"Россия, Кемеровская область, Калтан"
2123,16683,67.466723,86.581361,"Россия, Красноярский край, Туруханский район, Игарка"
2501,16836,49.081575,142.069281,"Россия, Сахалинская область, Углегорск"
2640,16886,53.686596,88.070372,"Россия, Кемеровская область, Междуреченск"
2685,17428,60.019041,30.645577,"Россия, Ленинградская область, Всеволожск"
2497,17462,50.676327,156.124106,"Россия, Сахалинская область, Северо-Курильск"
2496,17735,56.333305,46.546656,"Россия, Республика Марий Эл, Козьмодемьянск"
2495,17812,51.351246,48.273478,"Россия, Саратовская область, Ершов"
2494,17852,55.375010,37.538979,"Россия, Московская область, Подольск, Климовск"
2493,18016,58.498652,39.122987,"Россия, Ярославская область, Пошехонье"
2381,18436,50.597467,36.588849,"Россия, Белгород"
